plot,Order,n,Richness,miu_mix,miu_mono,evenness_mix,evenness_mono,CorS_mono,NBE.F,SE,CE,CV.mix,CV.mono,CV.avg,CVS.mix,CVS.mono,phi.mix,phi.mono,AE.SpVar,SE.SpVar,AE.Syn,SE.Syn,NIIE,NIDE,NBE,NIDE.SpVar,NIDE.Syn,NIIE.Syn,NIIE.SpVar,Exp
B1A11,New,12,16,287.831,197.88475,0.764681532,0.940875269,0.31176832,1.454538563,-1.020510615,1.475049178,0.486245435,0.512802276,0.950851828,1.266310461,0.792213947,0.383985958,0.647302762,0.357722438,0.24072261,-1.287754533,0.639651695,0.539308293,0.948212318,0.511378767,1.598445048,0.593209206,0.647302762,0.833162354,D
B1A11,Old,12,16,213.821,60.3698625,0.705564878,0.850779639,0.121611383,3.541850041,-2.052374213,4.594224255,0.243633456,0.442460291,1.064960233,1.095363883,0.753256813,0.222422393,0.587396335,0.284645842,0.169524721,-0.044508557,-0.81210947,0.415471186,0.550633494,0.228772351,1.454170563,0.378658122,0.587396335,0.707309803,D
B1A12,New,5,8,306.528,217.8545,0.648766469,0.723217588,0.465307286,1.407030839,-0.032393806,0.439424645,0.875662319,0.562638018,1.067137836,1.234125234,0.751661195,0.709540892,0.748526093,0.314526767,0.327336936,-0.387869388,0.286416745,0.527240248,1.556351138,0.820570961,1.641863704,0.947917379,0.748526093,0.704371235,D
B1A12,Old,5,8,341.727,70.36765,0.330160073,0.592262427,0.079509009,4.856308261,1.701181884,2.155126377,0.238758899,0.251826227,0.68787709,0.500394165,0.483203779,0.477141653,0.521159475,0.154429891,-0.118854038,-0.342664545,0.180875606,0.366091895,0.948109741,0.347095292,1.035575853,0.915538672,0.521159475,0.702456567,D
B1A13,New,3,4,434.229,412.1965,0.499637489,0.772161733,0.267603063,1.053451449,0.165179738,-0.11172829,0.569046698,0.41559603,0.678311488,0.824831361,0.532726179,0.689894595,0.780130669,0.663414129,-0.115092694,-0.144753711,-0.073203021,0.612692012,1.369230349,0.838916498,1.548321434,0.884332103,0.780130669,0.785371011,D
B1A13,Old,3,4,287.462,117.12655,0.152233152,0.41382495,0.42779872,2.454285557,0.903665883,0.550619674,0.484260122,0.366383354,0.73917777,0.539144205,0.433232812,0.898201477,0.845696226,0.344882093,-0.100414477,-0.17695899,0.304984042,0.495663383,1.321730684,0.655133503,1.244467617,1.062085238,0.845696226,0.586100976,D
B1A14,New,5,8,184.763,136.702,0.735194159,0.975967664,0.264753093,1.351574959,0.163852689,0.18772227,1.339098576,0.568105516,0.862558482,1.717365773,0.830663066,0.779739877,0.683918112,1.141801892,-0.074338149,0.077783269,0.22206087,0.658628404,2.357130038,1.552472794,2.067463743,1.140107073,0.683918112,0.963022315,D
B1A14,Old,5,8,113.582,62.306525,0.627127237,0.875833674,0.262146057,1.82295514,0.252677905,0.570277235,0.436679649,0.560304909,0.840868287,1.087104621,0.789607536,0.401690546,0.709599242,0.38590964,-0.009143878,-0.513112195,-0.16644027,0.666340874,0.779360741,0.519319917,1.376765762,0.566080856,0.709599242,0.939038312,D
B1A16,New,2,2,315.889,230.644,0.984585305,0.991505593,0.861781241,1.369595567,-0.038211432,0.407806999,0.706804833,0.77854315,0.779343221,1.325552964,0.802760696,0.533215083,0.969832174,0.719679188,-0.068436207,-0.699908847,0.002190421,0.998973404,0.907855695,0.906923694,1.651242981,0.549801396,0.969832174,1.030047704,D
B1A16,Old,2,2,99.16033333,65.4673,0.730640519,0.841548549,-0.592457173,1.51465439,0.116005478,0.398648912,0.687760055,0.73057017,1.043691466,0.853526233,1.09929412,0.805786663,0.664581168,-0.238011827,0.014443009,0.270805532,0.199285028,0.699986724,0.941401776,0.658968745,0.776431182,1.212472911,0.664581168,1.053274991,D
B1A17,New,2,2,262.638,318.052,0.994519552,0.999985742,0.880094962,0.825770629,0.000303479,-0.17453285,0.950079381,0.534370268,0.550651738,1.201482638,0.55002097,0.790755814,0.971545263,1.205753602,-0.021323001,-0.360863146,0.023321698,0.970432364,1.777942072,1.725372529,2.1844306,0.813915568,0.971545263,0.998854507,D
B1A17,Old,2,2,99.307,158.3323,0.435876966,0.94992894,0.495867218,0.627206199,0.098497608,-0.471291409,0.42489253,0.618495109,0.823156244,0.521113529,0.699480344,0.815355017,0.884220858,0.121959443,-0.376958481,-0.253278206,0.103577827,0.751370246,0.686977995,0.516174825,0.745000962,0.922116924,0.884220858,0.84975404,D
B1A19,New,2,4,351.186,119.691,0.32864012,0.696988195,0.95973963,2.934105321,0.76572248,1.168382841,0.915639961,0.64781698,0.931894623,0.999600824,0.654143531,0.916005609,0.990328497,0.70163728,-0.173531021,-0.159297742,0.014832609,0.695161195,1.413423838,0.982557404,1.528106259,0.924951278,0.990328497,0.701950108,D
B1A19,Old,2,4,233.098,74.2595,0.489584485,0.982668468,-0.247206354,3.138965385,0.314459439,1.824505946,0.193023791,0.38076845,0.571132235,0.218279833,0.58303377,0.88429512,0.653081295,-0.70902434,0.0834106,0.950805604,-0.117394039,0.666690525,0.506932208,0.3379669,0.37438626,1.354035289,0.653081295,1.020838494,D
B1A20,New,15,16,542.5033333,300.506125,0.543307262,0.830689732,0.382604478,1.805298755,0.703841712,0.101457043,0.263896984,0.48632598,0.918374014,1.134901544,0.691757185,0.232528526,0.703029894,0.526694005,0.113912798,-1.000650486,0.110047356,0.529551112,0.542633942,0.287352407,1.640606804,0.330751976,0.703029894,0.753241245,D
B1A20,Old,15,16,317.9833333,93.9542125,0.451744086,0.771917485,0.057060004,3.384449988,0.396963528,1.987486459,0.342650298,0.191997907,0.837233805,0.780069021,0.546007091,0.439256384,0.351639951,0.400471487,0.028207799,-0.551341336,1.111754993,0.229324121,1.784656424,0.409264767,1.428679287,1.249165184,0.351639951,0.652156049,D
B1A21,New,2,4,117.889,132.3655,0.899742763,0.953628265,0.919844968,0.890632378,0.027881574,-0.137249197,0.596182503,0.550518345,0.61633677,0.613505592,0.561754779,0.971763764,0.979997616,0.136912968,-0.044789475,-0.021787688,0.005054458,0.893210289,1.082947569,0.967299911,1.092123493,0.991598089,0.979997616,0.911441287,D
B1A21,Old,2,4,67.67233333,45.17305,0.221942606,0.992575236,-0.451166668,1.498068723,0.12694095,0.371127773,0.71739646,0.425415755,0.770132221,0.741216314,0.74158551,0.967863829,0.573657049,0.313688529,-0.314186375,0.178582507,1.668000486,0.552393139,1.68634201,0.931523757,0.999502153,1.687181968,0.573657049,0.962932714,D
B2A01,New,4,4,312.4742,366.128,0.593590552,0.466443231,0.871664012,0.853456168,-0.254119058,0.107575226,0.662525197,0.742248677,1.034798408,1.215932531,0.760374221,0.544870032,0.976162337,0.47155945,0.127564373,-0.688795771,0.000355809,0.71728819,0.892591955,0.640245667,1.599123824,0.558175634,0.976162337,0.734804205,D
B2A01,Old,4,4,327.461,142.82035,0.441113488,0.637457329,0.140799537,2.292817515,-0.694535932,1.987353448,0.117442971,0.340778736,0.8389051,0.484174058,0.477443175,0.242563534,0.713757685,-0.094942702,0.10904047,-0.540312062,-0.344196596,0.406218457,0.344631159,0.139995538,1.014097768,0.339840171,0.713757685,0.569126562,D
B2A06,New,4,4,240.882,175.285,0.676804408,0.95737289,0.386689947,1.374230539,0.119640716,0.254589823,0.569718124,0.642112942,0.92136153,0.885128112,0.915984803,0.643656117,0.701008293,-0.079975321,0.046288419,-0.668454988,0.511520825,0.696917466,0.887255319,0.618343728,0.966313098,0.918186167,0.701008293,0.994164367,D
B2A06,Old,4,4,166.821,56.4707,0.771741259,0.91640874,0.307850033,2.954116028,-0.522385735,2.476501763,0.489212822,0.594030439,0.717250358,0.947416417,0.78616291,0.516365152,0.755607307,0.226166623,-0.021052004,-0.237525004,-0.295469973,0.828205148,0.823548406,0.68206703,1.205114619,0.683377658,0.755607307,1.096078798,D
B2A09,New,4,4,197.698,101.9165,0.447264431,0.704438011,-0.035995008,1.939803663,0.778863636,0.160940027,0.664424831,0.712641646,1.107545573,0.812227786,1.072919737,0.818027704,0.664207789,-0.242014162,-0.000960164,0.000301038,0.516498182,0.643442277,0.932340729,0.599907442,0.757025673,1.231584029,0.664207789,0.968736423,D
B2A09,Old,4,4,155.581,60.20015,0.751419062,0.696880466,-0.09289443,2.584395554,-5.043386248,6.627781801,0.321819806,0.657143208,0.913458804,0.637265356,0.795065764,0.505001258,0.826526859,-0.608239091,0.40976443,-0.707499026,0.08081019,0.719401034,0.48972553,0.352309053,0.801525339,0.610991951,0.826526859,0.870390389,D
B2A10,New,14,16,405.108,147.751125,0.433553348,0.905968111,0.299555337,2.741826839,1.131858773,0.609968065,0.433738986,0.486539127,0.888162095,0.892948049,0.695434941,0.485738209,0.699618466,0.485216571,-0.201202789,-0.900699228,0.382738039,0.547804426,0.89147812,0.48835566,1.284013783,0.694290149,0.699618466,0.783004527,D
B2A10,Old,14,16,341.1632,80.0191625,0.399928031,0.835983025,0.038787427,4.263518754,-1.600615563,4.864134317,0.205686938,0.212018818,0.779998692,0.648699157,0.486372793,0.317076006,0.435918336,0.773156993,-0.439408135,-0.880029546,0.409103624,0.271819454,0.970135289,0.263701644,1.333748858,0.727374785,0.435918336,0.623555909,D
B2A12,New,7,8,394.573,367.20275,0.573439579,0.847825106,0.136181604,1.07453716,0.398133381,-0.323596221,0.316586429,0.364666254,0.687509564,0.82001783,0.592997484,0.386072616,0.614954134,0.457291145,-0.074455886,-0.866512866,0.260654712,0.530416263,0.868153895,0.460482945,1.382835259,0.627807173,0.614954134,0.862529796,D
B2A12,Old,7,8,345.9689,115.600825,0.773811903,0.739654544,0.256404883,2.992789195,-2.504422748,4.497211944,0.442193722,0.279762898,0.849185267,0.840600972,0.48944012,0.526044743,0.571597804,0.277999708,0.439474885,-0.19212695,0.039089615,0.329448601,1.580601736,0.520727031,1.717474594,0.920305745,0.571597804,0.576364357,D
B2A14,New,5,8,365.297,242.698,0.535048227,0.740955246,0.223407257,1.505150434,0.253060183,0.252090251,0.476328771,0.66344854,0.955928669,1.004479616,0.846533448,0.474204516,0.783723953,0.027576704,0.159003246,-1.11621775,0.482322304,0.694035613,0.71795888,0.498289031,1.18657995,0.605065744,0.783723953,0.885561313,D
B2A14,Old,5,8,223.569,84.49205,0.457700894,0.706458463,-0.157221756,2.646035929,0.90159713,0.744438799,0.273996938,0.243576975,0.655274295,0.300163694,0.457881466,0.912825048,0.531965133,-0.083638662,-0.260812432,0.796599895,1.147881142,0.37171758,1.124888501,0.418140831,0.655548905,1.715949019,0.531965133,0.698763052,D
B2A16,New,4,4,295.1325,385.7105,0.602642273,0.544542845,0.248149013,0.765165843,-0.132529981,-0.102304176,0.802366549,0.619314579,1.02442156,1.549109624,0.734289448,0.517953369,0.843420235,1.143728678,-0.034057038,-0.847564956,0.224696876,0.604550512,1.295571873,0.78323864,2.10967164,0.614110674,0.843420235,0.716784453,D
B2A16,Old,4,4,501.6635,152.9726,0.575786154,0.747063409,-0.163066222,3.279433703,-0.59398213,2.873415833,0.372304385,0.147003622,0.641193311,0.774682064,0.506019839,0.480589912,0.290509602,0.545529686,-0.014597488,1.540243314,0.196463783,0.229265682,2.53262049,0.580642964,1.530932198,1.654299579,0.290509602,0.789184525,D
B2A17,New,7,8,264.384,111.12675,0.796346579,0.935594253,0.359258503,2.379121139,-0.016674221,1.39579536,0.476698984,0.510111409,0.912905317,0.939795071,0.815048557,0.507237162,0.62586628,0.127729366,0.025324723,-1.041727158,0.698566291,0.558778002,0.934499751,0.522177903,1.153054089,0.810456127,0.62586628,0.892807328,D
B2A17,Old,7,8,214.9725,56.261525,0.753953284,0.918804258,0.010994923,3.820950463,-2.440116037,5.2610665,0.403544078,0.302255407,0.734083785,0.800270731,0.659401705,0.504259449,0.458378262,0.38063098,-0.166999402,0.517186206,-0.306978082,0.411745108,1.335109541,0.549724823,1.213631577,1.100094597,0.458378262,0.89826491,D
B2A18,New,11,16,367.055,117.733,0.642163095,0.908962964,0.075445203,3.117690027,0.720027066,1.397662961,0.430797851,0.363829928,0.900859775,0.915151526,0.788985033,0.470739368,0.461136667,0.112831273,0.047078596,-1.001333087,1.043414688,0.403869657,1.18406381,0.478207445,1.159909869,1.020823982,0.461136667,0.875813367,D
B2A18,Old,11,16,194.136,32.5356875,0.6566182,0.816534159,0.108076469,5.96686331,0.471458562,4.495404747,0.344870738,0.30863819,0.898525109,0.907002948,0.703162744,0.38023111,0.43892853,0.182785784,0.107104722,-0.753004162,0.503429817,0.343494229,1.117394895,0.383818698,1.289890506,0.866271121,0.43892853,0.782574396,D
B2A19,New,2,2,132.442,154.128,0.885281499,0.965067328,-0.482683193,0.859298765,0.034470909,-0.175172144,0.397714734,0.476006279,0.978432766,0.914017466,0.935433045,0.435128156,0.508861946,0.013651104,-0.036544863,-0.392217509,0.123414548,0.486498711,0.835524134,0.406481414,0.977106241,0.855100601,0.508861946,0.956052452,D
B2A19,Old,2,2,158.945,69.665,0.761418872,0.998677016,-0.844585847,2.28156176,-0.058866034,1.340427794,0.380373187,0.294939569,0.536031109,0.808660077,0.54631004,0.470374633,0.539875799,0.744503601,-0.264281718,0.275028176,-0.515926298,0.550228456,1.28966482,0.709610283,1.480221883,0.871264528,0.539875799,1.019175999,D
B2A21,New,7,8,207.278,235.4815,0.723126467,0.919697765,-0.003231178,0.880230506,0.096414516,-0.216184009,0.823355079,0.272991827,0.79857474,1.303963119,0.642468094,0.631425128,0.424911103,1.081730672,-0.052115302,-1.12453039,2.332776947,0.341848813,3.016042965,1.031030707,2.029615369,1.486017011,0.424911103,0.804518428,D
B2A21,Old,7,8,329.3485,82.463425,0.680415808,0.879525659,0.309542136,3.993873648,-1.207428099,4.201301747,0.204853221,0.46082643,0.778147482,0.399830289,0.649369759,0.512350433,0.709651818,-0.196482539,-0.187796936,-0.247919532,-0.230833461,0.592209628,0.444534445,0.263257578,0.615720524,0.721974382,0.709651818,0.834507307,D
B2A22,New,10,16,114.816,117.588,0.851718857,0.933806657,0.518265963,0.976426166,-0.301914603,0.278340769,0.721000421,0.732992681,1.079644385,1.145292981,0.971872666,0.629533607,0.754206499,-0.032846086,0.211285423,-0.560153575,0.256872003,0.678920477,0.983639318,0.667812875,1.178439337,0.834696608,0.754206499,0.900178503,D
B2A22,Old,10,16,212.264,33.33775,0.600959858,0.881646256,0.047196443,6.367076362,-3.459671072,8.826747435,0.173804623,0.289193241,0.853730089,0.567982155,0.688268262,0.306003668,0.42017518,-0.265542958,0.090776644,-1.004771236,0.535157753,0.338740832,0.600998219,0.203582637,0.825233686,0.728276402,0.42017518,0.806189534,D
B3A03,New,3,4,177.245,99.86,0.737303994,0.827990752,-0.098083026,1.774934909,0.233441902,0.541493007,0.764156905,1.140737561,1.545730046,1.199220561,1.657601574,0.63721131,0.688185616,-0.262465443,-0.014067241,0.246632322,-0.389287028,0.737992746,0.669879674,0.49436634,0.723467316,0.925929422,0.688185616,1.072374557,D
B3A03,Old,3,4,81.5453,41.541,0.678075943,0.978442737,-0.204368566,1.963007631,-0.03900567,1.002013301,0.772033819,0.349120951,0.820697948,0.891025387,0.815383426,0.866455469,0.428167828,0.145042084,-0.052273506,0.127467871,2.967631366,0.425395179,2.21136491,0.940703972,1.092768578,2.023635154,0.428167828,0.993524387,D
