Richness,plot,Order,SPEI_mean,Driest,NBE,NIIE,NIIE.Syn,NIIE.SpVar,NIDE,NIDE.SpVar,NIDE.Syn
16,B1A11,15,-0.071427333,-0.440715583,-0.2301811,0.10196404,0.147067054,-0.034441157,-0.896442963,0.02663188,-0.765166273
16,B1A20,1,0.518395017,-0.623814083,-0.179671185,-0.003767074,0.069155039,-0.063305248,-0.241985745,0.020799202,-0.175751402
16,B1A20,2,0.481813883,-0.623814083,-0.279878334,0.192084573,0.227916231,0.012528163,-0.606718452,-0.066705764,-0.446806065
16,B1A20,3,0.201212317,-0.623814083,-0.15071772,0.015153542,0.053515889,-0.018836773,-0.367557018,0.153475055,-0.343990493
16,B1A20,4,0.1530159,-0.623814083,-0.077146911,-0.011642494,0.005037323,-0.001571993,-0.225077067,0.158535525,-0.257956426
16,B1A20,5,0.469598267,-0.623814083,-0.081109627,-0.070697481,-0.064952301,-0.011376229,-0.133215406,0.04519766,-0.141462018
16,B1A20,6,0.484303917,-0.550285833,-0.153394016,-0.040303289,-0.071129702,0.054373994,-0.381710597,0.111774123,-0.361191911
16,B1A20,7,0.102059667,-0.550285833,-0.128489842,-0.138246494,-0.155815239,-0.022633847,-0.070780155,0.345170126,-0.245141377
16,B1A20,8,0.1212659,-0.550285833,-0.13026163,-0.155032927,-0.116901335,-0.150603236,0.007702902,0.630136003,-0.312139079
16,B1A20,9,-0.23300125,-1.2581535,-0.174645951,0.08560819,0.154437473,-0.050726279,-0.653942168,0.329888406,-0.631185452
16,B1A20,10,-0.753896933,-1.549352083,-0.167720589,0.177848826,0.284605784,-0.055015835,-0.739910683,0.070561651,-0.636047187
16,B1A20,11,-0.66072695,-1.549352083,-0.117176058,0.102809188,0.152011359,-0.027282465,-0.582242568,-0.295918568,-0.302843601
16,B1A20,12,-0.659007883,-1.549352083,0.025110823,0.151025863,0.181811054,0.010814608,-0.365096944,-0.287683343,-0.04470446
16,B1A20,13,-0.63677245,-1.549352083,0.077078551,-0.013855375,-0.012451352,-0.029827801,0.212398262,0.146963851,0.0848311
16,B1A20,14,-0.40832675,-1.549352083,0.036827557,-0.033748409,-0.014653462,-0.077881968,0.190590312,0.284639021,-0.036687084
16,B1A20,15,-0.071427333,-0.440715583,0.024854432,-0.084183024,-0.088689329,-0.08959491,0.471045398,0.49523754,0.007545873
16,B2A10,1,0.518395017,-0.623814083,0.194989299,-0.066740028,-0.002880307,-0.06490436,0.392580128,0.352166847,0.101625266
16,B2A10,2,0.481813883,-0.623814083,0.079612266,0.08451779,0.13001425,-0.013076661,-0.042199456,0.257767103,-0.149330673
16,B2A10,3,0.201212317,-0.623814083,0.076740036,-0.074831863,-0.047115251,-0.030047198,0.224497155,0.064196928,0.108481906
16,B2A10,4,0.1530159,-0.623814083,-0.122159667,-0.063467032,-0.055857617,-0.004223523,-0.233722541,-0.154623297,-0.113509827
16,B2A10,5,0.469598267,-0.623814083,-0.320831187,-0.074548686,-0.070525891,-0.010126079,-0.72136863,-0.184659584,-0.539020888
16,B2A10,6,0.484303917,-0.550285833,-0.248055222,-0.273836082,-0.317371467,-0.043397205,0.006042594,0.030313024,-0.020299521
16,B2A10,7,0.102059667,-0.550285833,-0.188912906,-0.209677621,-0.258028608,0.003895316,-0.010175209,0.0441736,-0.037926483
16,B2A10,8,0.1212659,-0.550285833,-0.126020042,-0.197961337,-0.24069641,-0.021303159,0.260091676,0.00581186,0.221214356
16,B2A10,9,-0.23300125,-1.2581535,-0.065019543,0.004947206,-0.023215351,0.05003726,-0.276883729,-0.02183306,-0.206643063
16,B2A10,10,-0.753896933,-1.549352083,-0.19690162,0.049125254,0.048569087,0.018945935,-0.683378433,-0.075982498,-0.538774962
16,B2A10,11,-0.66072695,-1.549352083,-0.218451651,-0.05344477,-0.041566713,-0.059398559,-0.615100039,0.008320687,-0.511385248
16,B2A10,12,-0.659007883,-1.549352083,-0.20752264,-0.035451267,0.018990941,-0.115914945,-0.62521948,0.031110405,-0.529184673
16,B2A10,13,-0.63677245,-1.549352083,-0.171374304,-0.048744162,0.103922333,-0.241614552,-0.485342807,0.198183538,-0.484910017
16,B2A10,14,-0.40832675,-1.549352083,-0.193637865,-0.048756841,0.079427127,-0.225440123,-0.571620676,-0.045394937,-0.442432178
