block,plot,n,Order,T_mean,SPEI_mean,P_mean,Driest,miu_mix,miu_mono,evenness_mix,evenness_mono,CorS_mono,cov.mono,NBE.F,SE,CE,CV.mix,CV.mono,CV.avg,CVS.mix,CVS.mono,phi.mix,phi.mono,AE.SpVar,SE.SpVar,AE.Syn,SE.Syn,Richness,NIIE,NIDE,NBE,NIDE.SpVar,NIDE.Syn,NIIE.Syn,NIIE.SpVar
B1,B1A01,15,15,10.3969538,-0.071427333,478.2,-0.440715583,253.3915,50.382375,0.589174385,0.841595099,0.083543378,-0.403944126,5.029367909,0.186724013,3.842643896,0.729187269,0.318004652,1.007306102,1.086837679,0.895060147,0.670925644,0.355288584,0.044170917,0.170091255,1.36509642,1.200944126,16,0.31569813,2.29300818,0.723898394,1.214262172,1.888396289,0.355288584,0.888568178
B1,B1A02,5,1,9.781826021,0.518395017,524.6,-0.623814083,303.255196,249.5275,0.721933321,0.970640593,0.554949014,1.955886479,1.215317735,-0.097528094,0.312845829,0.258578751,0.339373583,0.37771992,0.549829416,0.409073362,0.470289045,0.829615454,0.495705501,-0.151620385,-0.849829465,0.171177802,8,0.898479442,0.761929521,0.68457801,1.344085116,0.566875945,0.829615454,1.083007117
B1,B1A02,5,2,9.743528589,0.481813883,543.3,-0.623814083,301.0068627,210.389375,0.811168559,0.977581948,0.756947063,1.418907487,1.430713232,-0.048130649,0.478843881,0.269312581,0.434528601,0.450808797,0.740030137,0.477785587,0.3639211,0.909463602,0.691543348,-0.142668379,-0.873803528,0.033922881,8,0.963886693,0.619781024,0.597398682,1.548874969,0.400149164,0.909463602,1.059840868
B1,B1A02,5,3,9.733660157,0.201212317,553.4,-0.623814083,242.57775,164.35,0.86476526,0.973179513,0.229122346,-0.578722114,1.475982659,-0.056118792,0.532101451,0.290877578,0.235814044,0.435481605,0.698189446,0.421396491,0.416616979,0.559601347,0.72981132,-0.072964476,-0.63192813,0.186191819,8,0.541501734,1.233504047,0.66794458,1.656846844,0.744488878,0.559601347,0.967656237
B1,B1A02,5,4,9.519113581,0.1530159,594.28,-0.623814083,206.69825,156.43225,0.872750415,0.959091574,0.16480481,-1.644062515,1.321327604,-0.063030252,0.384357855,0.335942402,0.271670473,0.536317666,0.641787975,0.4942787,0.523447641,0.549630144,0.310502782,-0.012069378,-0.408574729,0.315570803,8,0.506547687,1.236580471,0.626386977,1.298433405,0.952363415,0.549630144,0.921615548
B1,B1A02,5,5,9.507727826,0.469598267,593.18,-0.623814083,170.0355,139.1845,0.838592091,0.96566645,-0.001331499,-0.819869705,1.221655429,0.020766933,0.200888496,0.341658944,0.234047158,0.567593452,0.659793901,0.544031354,0.517826769,0.43020895,0.275571814,-0.062785279,0.138336806,0.310468781,8,0.412349996,1.459786768,0.601943068,1.212786535,1.203663403,0.43020895,0.958487721
B1,B1A02,5,6,9.336048779,0.484303917,549.74,-0.550285833,166.1063333,137.490625,0.64434953,0.954418794,-0.070182142,-0.646461654,1.208128433,0.144755524,0.063372909,0.314844497,0.20968055,0.571190709,0.581252013,0.55238327,0.541666075,0.379592506,0.19163275,-0.139370589,0.32121691,0.715018626,8,0.367093768,1.501543643,0.551207314,1.052262161,1.426967251,0.379592506,0.967073275
B1,B1A02,5,7,9.195238759,0.102059667,540.84,-0.550285833,164.8189667,142.234375,0.550745563,0.942858028,-0.089743145,-0.328169655,1.158784342,0.163473705,-0.004689363,0.307316827,0.190744153,0.474163072,0.622510492,0.464934089,0.493673329,0.410260632,0.466292672,-0.127370646,-1.177142686,1.625112936,8,0.402275429,1.611146772,0.648124759,1.338922026,1.203316355,0.410260632,0.980536268
B1,B1A02,5,8,9.413262924,0.1212659,533.94,-0.550285833,252.4884,151.3163875,0.387601074,0.932456842,-0.036741443,0.55317116,1.668612397,0.122378341,0.546234056,0.73900075,0.199614609,0.35830946,0.871076094,0.372932361,0.848376801,0.535256871,1.586028429,-0.250280225,0.707738233,0.80445514,8,0.557101141,3.7021376,2.062465082,2.335748204,1.584990023,0.535256871,1.040810816
B1,B1A02,5,9,9.874044512,-0.23300125,489.06,-1.2581535,313.9857,146.4677625,0.272123334,0.946460165,0.175676752,1.293796885,2.143718827,0.185785048,0.957933779,0.603628273,0.250485916,0.311553641,0.710658067,0.346886929,0.849393402,0.722096729,1.343917717,-0.295244192,-0.093268134,0.476920568,8,0.803989693,2.409829191,1.937477831,2.048673525,1.176287564,0.722096729,1.113409964
